id,word,meaning,,,,,,,,,,,,,,,wrong1,wrong2,wrong3,レベル,品詞
1222,difficulty,困難,,,,,,,,,,,,,,,オブジェクト,ウェブ,タンク,2,名詞
1223,ancient,古い,,,,,,,,,,,,,,,困難,オブジェクト,ウェブ,2,形容詞
1224,suit,以下の通り,,,,,,,,,,,,,,,古い,困難,オブジェクト,2,名詞
1225,sixty,シックスティ,,,,,,,,,,,,,,,以下の通り,古い,困難,2,数詞
1226,plate,プレート,,,,,,,,,,,,,,,シックスティ,以下の通り,古い,2,名詞
1227,chicken,チキン,,,,,,,,,,,,,,,プレート,シックスティ,以下の通り,2,名詞
1228,pocket,ポケット,,,,,,,,,,,,,,,チキン,プレート,シックスティ,2,名詞
1229,lie,うそ,,,,,,,,,,,,,,,ポケット,チキン,プレート,2,動詞
1230,leaf,リーフ,,,,,,,,,,,,,,,うそ,ポケット,チキン,2,名詞
1231,push,プッシュ,,,,,,,,,,,,,,,リーフ,うそ,ポケット,2,動詞
1232,everywhere,どこでも,,,,,,,,,,,,,,,プッシュ,リーフ,うそ,2,副詞
1233,panel,パネル,,,,,,,,,,,,,,,どこでも,プッシュ,リーフ,2,名詞
1234,depend,依存,,,,,,,,,,,,,,,パネル,どこでも,プッシュ,2,動詞
1235,silent,サイレント,,,,,,,,,,,,,,,依存,パネル,どこでも,2,形容詞
1236,cross,クロス,,,,,,,,,,,,,,,サイレント,依存,パネル,2,名詞
1237,severe,厳しい,,,,,,,,,,,,,,,クロス,サイレント,依存,2,形容詞
1238,comment,どのように,,,,,,,,,,,,,,,厳しい,クロス,サイレント,2,名詞
1239,temperature,温度,,,,,,,,,,,,,,,どのように,厳しい,クロス,2,名詞
1240,package,パッケージ,,,,,,,,,,,,,,,温度,どのように,厳しい,2,名詞
1241,proud,現在,,,,,,,,,,,,,,,パッケージ,温度,どのように,2,形容詞
1242,announce,発表,,,,,,,,,,,,,,,現在,パッケージ,温度,2,動詞
1243,musical,ミュージカル,,,,,,,,,,,,,,,発表,現在,パッケージ,2,形容詞
1244,explanation,説明,,,,,,,,,,,,,,,ミュージカル,発表,現在,2,名詞
1245,display,表示,,,,,,,,,,,,,,,説明,ミュージカル,発表,2,名詞
1246,chain,チェーン,,,,,,,,,,,,,,,表示,説明,ミュージカル,2,名詞
1247,cheese,チーズ,,,,,,,,,,,,,,,チェーン,表示,説明,2,名詞
1248,roof,屋根,,,,,,,,,,,,,,,チーズ,チェーン,表示,2,名詞
1249,user,ユーザー,,,,,,,,,,,,,,,屋根,チーズ,チェーン,2,名詞
1250,award,アワード,,,,,,,,,,,,,,,ユーザー,屋根,チーズ,2,名詞
1251,discover,発見する,,,,,,,,,,,,,,,アワード,ユーザー,屋根,2,動詞
1252,circle,円,,,,,,,,,,,,,,,発見する,アワード,ユーザー,2,名詞
1253,hate,嫌い,,,,,,,,,,,,,,,円,発見する,アワード,2,動詞
1254,survive,生き残る,,,,,,,,,,,,,,,嫌い,円,発見する,2,動詞
1255,electric,エレクトリック,,,,,,,,,,,,,,,生き残る,嫌い,円,2,形容詞
1256,storm,嵐,,,,,,,,,,,,,,,エレクトリック,生き残る,嫌い,2,名詞
1257,honest,誠実,,,,,,,,,,,,,,,嵐,エレクトリック,生き残る,2,形容詞
1258,branch,ブランチ,,,,,,,,,,,,,,,誠実,嵐,エレクトリック,2,名詞
1259,tool,工具,,,,,,,,,,,,,,,ブランチ,誠実,嵐,2,名詞
1260,eleven,イレブン,,,,,,,,,,,,,,,工具,ブランチ,誠実,2,数詞
1261,percentage,パーセント,,,,,,,,,,,,,,,イレブン,工具,ブランチ,2,名詞
1262,refuse,断る,,,,,,,,,,,,,,,パーセント,イレブン,工具,2,動詞
1263,stomach,胃,,,,,,,,,,,,,,,断る,パーセント,イレブン,2,名詞
1264,originally,もともと,,,,,,,,,,,,,,,胃,断る,パーセント,2,副詞
1265,climate,気候,,,,,,,,,,,,,,,もともと,胃,断る,2,名詞
1266,smoke,スモーク,,,,,,,,,,,,,,,気候,もともと,胃,2,名詞
1267,addition,追加,,,,,,,,,,,,,,,スモーク,気候,もともと,2,前置詞
1268,shoot,シュート,,,,,,,,,,,,,,,追加,スモーク,気候,2,動詞
1269,occasion,機会,,,,,,,,,,,,,,,シュート,追加,スモーク,2,名詞
1270,amazing,驚くべき,,,,,,,,,,,,,,,機会,シュート,追加,2,形容詞
1271,sand,砂,,,,,,,,,,,,,,,驚くべき,機会,シュート,2,名詞
1272,aunt (auntie),おばさん,,,,,,,,,,,,,,,砂,驚くべき,機会,2,名詞
1273,pilot,パイロット,,,,,,,,,,,,,,,おばさん,砂,驚くべき,2,名詞
1274,regularly,定期的に,,,,,,,,,,,,,,,パイロット,おばさん,砂,2,副詞
1275,hunting,ハンティング,,,,,,,,,,,,,,,定期的に,パイロット,おばさん,2,名詞
1276,enemy,敵,,,,,,,,,,,,,,,ハンティング,定期的に,パイロット,2,名詞
1277,advance,前進,,,,,,,,,,,,,,,敵,ハンティング,定期的に,2,名詞
1278,smart,悲しみ,,,,,,,,,,,,,,,前進,敵,ハンティング,2,形容詞
1279,bathroom,バスルーム,,,,,,,,,,,,,,,悲しみ,前進,敵,2,名詞
1280,ocean,海,,,,,,,,,,,,,,,バスルーム,悲しみ,前進,2,名詞
1281,stick,スティック,,,,,,,,,,,,,,,海,バスルーム,悲しみ,2,動詞
1282,reporter,レポーター,,,,,,,,,,,,,,,スティック,海,バスルーム,2,名詞
1283,anymore,もう,,,,,,,,,,,,,,,レポーター,スティック,海,2,副詞
1284,dirty,汚い,,,,,,,,,,,,,,,もう,レポーター,スティック,2,形容詞
1285,promise,約束,,,,,,,,,,,,,,,汚い,もう,レポーター,2,名詞
1286,instrument,楽器,,,,,,,,,,,,,,,約束,汚い,もう,2,名詞
1287,tournament,トーナメント,,,,,,,,,,,,,,,楽器,約束,汚い,2,名詞
1288,count,カウント,,,,,,,,,,,,,,,トーナメント,楽器,約束,2,動詞
1289,accurate,正確,,,,,,,,,,,,,,,カウント,トーナメント,楽器,2,形容詞
1290,asleep,眠っている,,,,,,,,,,,,,,,正確,カウント,トーナメント,2,形容詞
1291,autumn,秋,,,,,,,,,,,,,,,眠っている,正確,カウント,2,名詞
1292,giant,ジャイアント,,,,,,,,,,,,,,,秋,眠っている,正確,2,形容詞
1293,eighteen,エイティーン,,,,,,,,,,,,,,,ジャイアント,秋,眠っている,2,数詞
1294,schedule,スケジュール,,,,,,,,,,,,,,,エイティーン,ジャイアント,秋,2,名詞
1295,fee,料金,,,,,,,,,,,,,,,スケジュール,エイティーン,ジャイアント,2,名詞
1296,experiment,実験,,,,,,,,,,,,,,,料金,スケジュール,エイティーン,2,名詞
1297,topic,トピック,,,,,,,,,,,,,,,実験,料金,スケジュール,2,名詞
1298,presentation,プレゼンテーション,,,,,,,,,,,,,,,トピック,実験,料金,2,名詞
1299,joy,喜び,,,,,,,,,,,,,,,プレゼンテーション,トピック,実験,2,名詞
1300,tip,チップ,,,,,,,,,,,,,,,喜び,プレゼンテーション,トピック,2,名詞
1301,garage,ガレージ,,,,,,,,,,,,,,,チップ,喜び,プレゼンテーション,2,名詞
1302,countryside,田舎,,,,,,,,,,,,,,,ガレージ,チップ,喜び,2,名詞
1303,select,選ぶ,,,,,,,,,,,,,,,田舎,ガレージ,チップ,2,動詞
1304,imagination,イマジネーション,,,,,,,,,,,,,,,選ぶ,田舎,ガレージ,2,名詞
1305,repeat,繰り返す,,,,,,,,,,,,,,,イマジネーション,選ぶ,田舎,2,動詞
1306,athlete,アスリート,,,,,,,,,,,,,,,繰り返す,イマジネーション,選ぶ,2,名詞
1307,print,プリント,,,,,,,,,,,,,,,アスリート,繰り返す,イマジネーション,2,名詞
1308,earn,稼ぐ,,,,,,,,,,,,,,,プリント,アスリート,繰り返す,2,動詞
1309,classical,クラシック,,,,,,,,,,,,,,,稼ぐ,プリント,アスリート,2,形容詞
1310,suggestion,提案,,,,,,,,,,,,,,,クラシック,稼ぐ,プリント,2,名詞
1311,fourteen,フォーティーン,,,,,,,,,,,,,,,提案,クラシック,稼ぐ,2,数詞
1312,chemical,ケミカル,,,,,,,,,,,,,,,フォーティーン,提案,クラシック,2,形容詞
1313,assistant,アシスタント,,,,,,,,,,,,,,,ケミカル,フォーティーン,提案,2,名詞
1314,seed,シード,,,,,,,,,,,,,,,アシスタント,ケミカル,フォーティーン,2,名詞
1315,soccer,サッカー,,,,,,,,,,,,,,,シード,アシスタント,ケミカル,2,名詞
1316,mix,ミックス,,,,,,,,,,,,,,,サッカー,シード,アシスタント,2,名詞
1317,swimming,スイミング,,,,,,,,,,,,,,,ミックス,サッカー,シード,2,名詞
1318,counter,カウンター,,,,,,,,,,,,,,,スイミング,ミックス,サッカー,2,名詞
1319,medium,ミディアム,,,,,,,,,,,,,,,カウンター,スイミング,ミックス,2,名詞
1320,anniversary,周年,,,,,,,,,,,,,,,ミディアム,カウンター,スイミング,2,名詞
1321,stadium,ステージ,,,,,,,,,,,,,,,周年,ミディアム,カウンター,2,名詞
1322,origin,起源,,,,,,,,,,,,,,,ステージ,周年,ミディアム,2,名詞
1323,volunteer,ボランティア,,,,,,,,,,,,,,,起源,ステージ,周年,2,名詞
1324,destroy,破壊する,,,,,,,,,,,,,,,ボランティア,起源,ステージ,2,動詞
1325,steal,盗む,,,,,,,,,,,,,,,破壊する,ボランティア,起源,2,動詞
1326,chip,チップ,,,,,,,,,,,,,,,盗む,破壊する,ボランティア,2,名詞
1327,bean,ビーン,,,,,,,,,,,,,,,チップ,盗む,破壊する,2,名詞
1328,everyday,日常,,,,,,,,,,,,,,,ビーン,チップ,盗む,2,形容詞
1329,solar,ソーラー,,,,,,,,,,,,,,,日常,ビーン,チップ,2,形容詞
1330,disappear,消える,,,,,,,,,,,,,,,ソーラー,日常,ビーン,2,動詞
1331,poem,詩,,,,,,,,,,,,,,,消える,ソーラー,日常,2,名詞
1332,rent,賃料,,,,,,,,,,,,,,,詩,消える,ソーラー,2,名詞
1333,elementary,初等,,,,,,,,,,,,,,,賃料,詩,消える,2,形容詞
1334,cousin,いとこ,,,,,,,,,,,,,,,初等,賃料,詩,2,名詞
1335,belong,所属,,,,,,,,,,,,,,,いとこ,初等,賃料,2,動詞
1336,wake,通夜,,,,,,,,,,,,,,,所属,いとこ,初等,2,動詞
1337,transportation,輸送,,,,,,,,,,,,,,,通夜,所属,いとこ,2,名詞
1338,combine,コンバイン,,,,,,,,,,,,,,,輸送,通夜,所属,2,動詞
1339,thirteen,サーティーン,,,,,,,,,,,,,,,コンバイン,輸送,通夜,2,数詞
1340,habit,習慣,,,,,,,,,,,,,,,サーティーン,コンバイン,輸送,2,名詞
1341,bury,埋める,,,,,,,,,,,,,,,習慣,サーティーン,コンバイン,2,動詞
1342,ceremony,セレモニー,,,,,,,,,,,,,,,埋める,習慣,サーティーン,2,名詞
1343,shell,シェル,,,,,,,,,,,,,,,セレモニー,埋める,習慣,2,名詞
1344,gesture,ジェスチャー,,,,,,,,,,,,,,,シェル,セレモニー,埋める,2,名詞
1345,cloth,クロス,,,,,,,,,,,,,,,ジェスチャー,シェル,セレモニー,2,名詞
1346,essay,エッセイ,,,,,,,,,,,,,,,クロス,ジェスチャー,シェル,2,名詞
1347,magic,マジック,,,,,,,,,,,,,,,エッセイ,クロス,ジェスチャー,2,形容詞
1348,shower,シャワー,,,,,,,,,,,,,,,マジック,エッセイ,クロス,2,名詞
1349,tunnel,トンネル,,,,,,,,,,,,,,,シャワー,マジック,エッセイ,2,名詞
1350,strict,厳しい,,,,,,,,,,,,,,,トンネル,シャワー,マジック,2,形容詞
1351,adventure,アドベンチャー,,,,,,,,,,,,,,,厳しい,トンネル,シャワー,2,名詞
1352,graduate,卒業生,,,,,,,,,,,,,,,アドベンチャー,厳しい,トンネル,2,名詞
1353,friendship,友情,,,,,,,,,,,,,,,卒業生,アドベンチャー,厳しい,2,名詞
1354,rhythm,リズム,,,,,,,,,,,,,,,友情,卒業生,アドベンチャー,2,名詞
1355,peaceful,平和的,,,,,,,,,,,,,,,リズム,友情,卒業生,2,形容詞
1356,pie,パイ,,,,,,,,,,,,,,,平和的,リズム,友情,2,名詞
1357,announcement,発表,,,,,,,,,,,,,,,パイ,平和的,リズム,2,名詞
1358,happiness,幸福,,,,,,,,,,,,,,,発表,パイ,平和的,2,名詞
1359,preserve,保つ,,,,,,,,,,,,,,,幸福,発表,パイ,2,動詞
1360,trick,トリック,,,,,,,,,,,,,,,保つ,幸福,発表,2,名詞
1361,switch,スイッチ,,,,,,,,,,,,,,,トリック,保つ,幸福,2,名詞
1362,ski,スキー,,,,,,,,,,,,,,,スイッチ,トリック,保つ,2,名詞
1363,taxi,タクシー,,,,,,,,,,,,,,,スキー,スイッチ,トリック,2,名詞
1364,clerk,店員,,,,,,,,,,,,,,,タクシー,スキー,スイッチ,2,名詞
1365,overcome,乗り越える,,,,,,,,,,,,,,,店員,タクシー,スキー,2,動詞
1366,complain,文句を言う,,,,,,,,,,,,,,,乗り越える,店員,タクシー,2,動詞
1367,invitation,招待,,,,,,,,,,,,,,,文句を言う,乗り越える,店員,2,名詞
1368,ton,トン,,,,,,,,,,,,,,,招待,文句を言う,乗り越える,2,名詞
1369,painter,画家,,,,,,,,,,,,,,,トン,招待,文句を言う,2,名詞
1370,kick,キック,,,,,,,,,,,,,,,画家,トン,招待,2,動詞
1371,upset,ひっくり返す,,,,,,,,,,,,,,,キック,画家,トン,2,形容詞
1372,delicious,おいしい,,,,,,,,,,,,,,,ひっくり返す,キック,画家,2,形容詞
1373,confuse,化かす,,,,,,,,,,,,,,,おいしい,ひっくり返す,キック,2,動詞
1374,bake,焼く,,,,,,,,,,,,,,,化かす,おいしい,ひっくり返す,2,動詞
1375,noon,正午,,,,,,,,,,,,,,,焼く,化かす,おいしい,2,名詞
1376,behave,振舞う,,,,,,,,,,,,,,,正午,焼く,化かす,2,動詞
1377,temple,寺院,,,,,,,,,,,,,,,振舞う,正午,焼く,2,名詞
1378,architect,建築家,,,,,,,,,,,,,,,寺院,振舞う,正午,2,名詞
1379,shy,シャイ,,,,,,,,,,,,,,,建築家,寺院,振舞う,2,形容詞
1380,sunny,サニー,,,,,,,,,,,,,,,シャイ,建築家,寺院,2,形容詞
1381,hunt,ハント,,,,,,,,,,,,,,,サニー,シャイ,建築家,2,名詞
1382,lamp,ランプ,,,,,,,,,,,,,,,ハント,サニー,シャイ,2,名詞
1383,insect,バグ,,,,,,,,,,,,,,,ランプ,ハント,サニー,2,名詞
1384,zero,ゼロ,,,,,,,,,,,,,,,バグ,ランプ,ハント,2,数詞
1385,rabbit,ウサギ,,,,,,,,,,,,,,,ゼロ,バグ,ランプ,2,名詞
1386,pizza,ピザ,,,,,,,,,,,,,,,ウサギ,ゼロ,バグ,2,名詞
1387,towel,タオル,,,,,,,,,,,,,,,ピザ,ウサギ,ゼロ,2,名詞
1388,import,インポート,,,,,,,,,,,,,,,タオル,ピザ,ウサギ,2,名詞
1389,gym,ジム,,,,,,,,,,,,,,,インポート,タオル,ピザ,2,名詞
1390,exam,試験,,,,,,,,,,,,,,,ジム,インポート,タオル,2,名詞
1391,calendar,カレンダー,,,,,,,,,,,,,,,試験,ジム,インポート,2,名詞
1392,cute,かわいい,,,,,,,,,,,,,,,カレンダー,試験,ジム,2,形容詞
1393,comic,コミック,,,,,,,,,,,,,,,かわいい,カレンダー,試験,2,形容詞
1394,broadcast,ブロードキャスト,,,,,,,,,,,,,,,コミック,かわいい,カレンダー,2,名詞
1395,sweater,セーター,,,,,,,,,,,,,,,ブロードキャスト,コミック,かわいい,2,名詞
1396,snake,スネーク,,,,,,,,,,,,,,,セーター,ブロードキャスト,コミック,2,名詞
1397,freeze,フリーズ,,,,,,,,,,,,,,,スネーク,セーター,ブロードキャスト,2,動詞
1398,coin,コイン,,,,,,,,,,,,,,,フリーズ,スネーク,セーター,2,名詞
1399,jam,ジャム,,,,,,,,,,,,,,,コイン,フリーズ,スネーク,2,名詞
1400,notebook,ノート,,,,,,,,,,,,,,,ジャム,コイン,フリーズ,2,名詞
1401,convenience,利便性,,,,,,,,,,,,,,,ノート,ジャム,コイン,2,名詞
1402,keyboard,キーボード,,,,,,,,,,,,,,,利便性,ノート,ジャム,2,名詞
1403,stamp,プリント,,,,,,,,,,,,,,,キーボード,利便性,ノート,2,名詞
1404,elephant,象,,,,,,,,,,,,,,,プリント,キーボード,利便性,2,名詞
1405,absorb,吸収する,,,,,,,,,,,,,,,象,プリント,キーボード,2,動詞
1406,elevator,エレベーター,,,,,,,,,,,,,,,吸収する,象,プリント,2,名詞
1407,earthquake,地震,,,,,,,,,,,,,,,エレベーター,吸収する,象,2,名詞
1408,trash,ゴミ,,,,,,,,,,,,,,,地震,エレベーター,吸収する,2,名詞
1409,amusement,楽しい,,,,,,,,,,,,,,,ゴミ,地震,エレベーター,2,名詞
1410,carrot,キャロット,,,,,,,,,,,,,,,楽しい,ゴミ,地震,2,名詞
1411,headache,頭痛,,,,,,,,,,,,,,,キャロット,楽しい,ゴミ,2,名詞
1412,picnic,ピクニック,,,,,,,,,,,,,,,頭痛,キャロット,楽しい,2,名詞
1413,umbrella,傘,,,,,,,,,,,,,,,ピクニック,頭痛,キャロット,2,名詞
1414,cherry,チェリー,,,,,,,,,,,,,,,傘,ピクニック,頭痛,2,名詞
1415,website,ウェブサイト,,,,,,,,,,,,,,,チェリー,傘,ピクニック,2,名詞
1416,dessert,デザート,,,,,,,,,,,,,,,ウェブサイト,チェリー,傘,2,名詞
1417,monkey,モンキー,,,,,,,,,,,,,,,デザート,ウェブサイト,チェリー,2,名詞
1418,accord,アコード,,,,,,,,,,,,,,,モンキー,デザート,ウェブサイト,2,名詞
1419,hobby,趣味,,,,,,,,,,,,,,,アコード,モンキー,デザート,2,名詞
1420,shine,輝く,,,,,,,,,,,,,,,趣味,アコード,モンキー,2,動詞
1421,invent,捏造,,,,,,,,,,,,,,,輝く,趣味,アコード,2,動詞
1422,passport,パスポート,,,,,,,,,,,,,,,捏造,輝く,趣味,2,名詞
1423,greet,声をかける,,,,,,,,,,,,,,,パスポート,捏造,輝く,2,動詞
1424,postcard,はがき,,,,,,,,,,,,,,,声をかける,パスポート,捏造,2,名詞
1425,float,フロート,,,,,,,,,,,,,,,はがき,声をかける,パスポート,2,動詞
1426,sleepy,眠い,,,,,,,,,,,,,,,フロート,はがき,声をかける,2,形容詞
1427,textbook,教科書,,,,,,,,,,,,,,,眠い,フロート,はがき,2,名詞
1428,peach,ピーチ,,,,,,,,,,,,,,,教科書,眠い,フロート,2,名詞
1429,cheer,歓声,,,,,,,,,,,,,,,ピーチ,教科書,眠い,2,動詞
1430,scare,恐怖,,,,,,,,,,,,,,,歓声,ピーチ,教科書,2,動詞
1431,classmate,同級生,,,,,,,,,,,,,,,恐怖,歓声,ピーチ,2,名詞
1432,racket,ラケット,,,,,,,,,,,,,,,同級生,恐怖,歓声,2,名詞
1433,curry,カレー,,,,,,,,,,,,,,,ラケット,同級生,恐怖,2,名詞
1434,thirsty,のどが渇いた,,,,,,,,,,,,,,,カレー,ラケット,同級生,2,形容詞
1435,astronaut,宇宙飛行士,,,,,,,,,,,,,,,のどが渇いた,カレー,ラケット,2,名詞
1436,crane,クレーン,,,,,,,,,,,,,,,宇宙飛行士,のどが渇いた,カレー,2,名詞
1437,carpenter,大工,,,,,,,,,,,,,,,クレーン,宇宙飛行士,のどが渇いた,2,名詞
1438,bookstore,書店,,,,,,,,,,,,,,,大工,クレーン,宇宙飛行士,2,名詞
1439,dine,食事をする,,,,,,,,,,,,,,,書店,大工,クレーン,2,動詞
1440,embarrass,ばつが悪い,,,,,,,,,,,,,,,食事をする,書店,大工,2,動詞
1441,disappoint,失望させる,,,,,,,,,,,,,,,ばつが悪い,食事をする,書店,2,動詞
1442,endanger,脅かす,,,,,,,,,,,,,,,失望させる,ばつが悪い,食事をする,2,動詞
1443,kilogram,キログラム,,,,,,,,,,,,,,,脅かす,失望させる,ばつが悪い,2,名詞
1444,yeah,うん,,,,,,,,,,,,,,,キログラム,脅かす,失望させる,2,間投詞
1445,might,かもしれない,,,,,,,,,,,,,,,うん,キログラム,脅かす,2,助動詞
1446,whether,を問わず,,,,,,,,,,,,,,,かもしれない,うん,キログラム,2,接続詞
1447,within,内,,,,,,,,,,,,,,,を問わず,かもしれない,うん,2,前置詞
1448,political,政治的,,,,,,,,,,,,,,,内,を問わず,かもしれない,2,形容詞
1449,court,裁判所,,,,,,,,,,,,,,,政治的,内,を問わず,2,名詞
1450,saying,と言う,,,,,,,,,,,,,,,裁判所,政治的,内,2,名詞
1451,general,一般,,,,,,,,,,,,,,,と言う,裁判所,政治的,2,形容詞
1452,seem,見える,,,,,,,,,,,,,,,一般,と言う,裁判所,2,動詞
1453,policy,方針,,,,,,,,,,,,,,,見える,一般,と言う,2,名詞
1454,interest,関心,,,,,,,,,,,,,,,方針,見える,一般,2,名詞
1455,particular,特殊,,,,,,,,,,,,,,,関心,方針,見える,2,形容詞
1456,process,プロセス,,,,,,,,,,,,,,,特殊,関心,方針,2,名詞
1457,itself,そのもの,,,,,,,,,,,,,,,プロセス,特殊,関心,2,代名詞
1458,certain,確実,,,,,,,,,,,,,,,そのもの,プロセス,特殊,2,形容詞
1459,economic,経済的,,,,,,,,,,,,,,,確実,そのもの,プロセス,2,形容詞
1460,available,利用可能,,,,,,,,,,,,,,,経済的,確実,そのもの,2,形容詞
1461,likely,おそらく,,,,,,,,,,,,,,,利用可能,経済的,確実,2,形容詞
1462,evidence,証拠,,,,,,,,,,,,,,,おそらく,利用可能,経済的,2,名詞
1463,position,位置,,,,,,,,,,,,,,,証拠,おそらく,利用可能,2,名詞
1464,issue,問題,,,,,,,,,,,,,,,位置,証拠,おそらく,2,名詞
1465,rather,むしろ,,,,,,,,,,,,,,,問題,位置,証拠,2,副詞
1466,provide,提供する,,,,,,,,,,,,,,,むしろ,問題,位置,2,動詞
1467,simply,単に,,,,,,,,,,,,,,,提供する,むしろ,問題,2,副詞
1468,recent,新しい,,,,,,,,,,,,,,,単に,提供する,むしろ,2,形容詞
1469,patient,辛抱強い,,,,,,,,,,,,,,,新しい,単に,提供する,2,名詞
1470,base,ベース,,,,,,,,,,,,,,,辛抱強い,新しい,単に,2,動詞
1471,upon,について,,,,,,,,,,,,,,,ベース,辛抱強い,新しい,2,前置詞
1472,private,プライベート,,,,,,,,,,,,,,,について,ベース,辛抱強い,2,形容詞
1473,security,セキュリティ,,,,,,,,,,,,,,,プライベート,について,ベース,2,名詞
1474,single,シングル,,,,,,,,,,,,,,,セキュリティ,プライベート,について,2,形容詞
1475,cent,セント,,,,,,,,,,,,,,,シングル,セキュリティ,プライベート,2,名詞
1476,personal,スタッフ,,,,,,,,,,,,,,,セント,シングル,セキュリティ,2,形容詞
1477,director,ディレクター,,,,,,,,,,,,,,,スタッフ,セント,シングル,2,名詞
1478,nearly,ほぼ,,,,,,,,,,,,,,,ディレクター,スタッフ,セント,2,副詞
1479,military,軍事,,,,,,,,,,,,,,,ほぼ,ディレクター,スタッフ,2,形容詞
1480,indeed,實に,,,,,,,,,,,,,,,軍事,ほぼ,ディレクター,2,副詞
1481,series,シリーズ,,,,,,,,,,,,,,,實に,軍事,ほぼ,2,名詞
1482,whatever,何であれ,,,,,,,,,,,,,,,シリーズ,實に,軍事,2,形容詞
1483,therefore,従って,,,,,,,,,,,,,,,何であれ,シリーズ,實に,2,副詞
1484,despite,とはいえ,,,,,,,,,,,,,,,従って,何であれ,シリーズ,2,前置詞
1485,tax,税金,,,,,,,,,,,,,,,とはいえ,従って,何であれ,2,名詞
1486,committee,委員会,,,,,,,,,,,,,,,税金,とはいえ,従って,2,名詞
1487,force,力,,,,,,,,,,,,,,,委員会,税金,とはいえ,2,名詞
1488,current,現在,,,,,,,,,,,,,,,力,委員会,税金,2,形容詞
1489,sir,先生,,,,,,,,,,,,,,,現在,力,委員会,2,名詞
1490,exactly,まさに,,,,,,,,,,,,,,,先生,現在,力,2,副詞
1491,quality,品質,,,,,,,,,,,,,,,まさに,先生,現在,2,名詞
1492,trade,トレード,,,,,,,,,,,,,,,品質,まさに,先生,2,名詞
1493,management,管理,,,,,,,,,,,,,,,トレード,品質,まさに,2,名詞
1494,treatment,トリートメント,,,,,,,,,,,,,,,管理,トレード,品質,2,名詞
1495,film,フィルム,,,,,,,,,,,,,,,トリートメント,管理,トレード,2,名詞
1496,pound,パウンド,,,,,,,,,,,,,,,フィルム,トリートメント,管理,2,名詞
1497,medical,メディカル,,,,,,,,,,,,,,,パウンド,フィルム,トリートメント,2,形容詞
1498,approach,アプローチ,,,,,,,,,,,,,,,メディカル,パウンド,フィルム,2,名詞
1499,campaign,キャンペーン,,,,,,,,,,,,,,,アプローチ,メディカル,パウンド,2,名詞
1500,financial,財政的,,,,,,,,,,,,,,,キャンペーン,アプローチ,メディカル,2,形容詞
1501,population,人口,,,,,,,,,,,,,,,財政的,キャンペーン,アプローチ,2,名詞
1502,mile,マイル,,,,,,,,,,,,,,,人口,財政的,キャンペーン,2,名詞
1503,economy,経済,,,,,,,,,,,,,,,マイル,人口,財政的,2,名詞
1504,somebody,誰か,,,,,,,,,,,,,,,経済,マイル,人口,2,代名詞
1505,beyond,その先,,,,,,,,,,,,,,,誰か,経済,マイル,2,前置詞
1506,press,プレス,,,,,,,,,,,,,,,その先,誰か,経済,2,名詞
1507,growth,成長,,,,,,,,,,,,,,,プレス,その先,誰か,2,名詞
1508,risk,リスク,,,,,,,,,,,,,,,成長,プレス,その先,2,名詞
1509,individual,個人,,,,,,,,,,,,,,,リスク,成長,プレス,2,形容詞
1510,production,生産,,,,,,,,,,,,,,,個人,リスク,成長,2,名詞
1511,expect,期待する,,,,,,,,,,,,,,,生産,個人,リスク,2,動詞
1512,secretary,秘書,,,,,,,,,,,,,,,期待する,生産,個人,2,名詞
1513,consider,考える,,,,,,,,,,,,,,,秘書,期待する,生産,2,動詞
1514,cost,コスト,,,,,,,,,,,,,,,考える,秘書,期待する,2,名詞
1515,physical,物理的,,,,,,,,,,,,,,,コスト,考える,秘書,2,形容詞
1516,term,用語,,,,,,,,,,,,,,,物理的,コスト,考える,2,名詞
1517,allow,認める,,,,,,,,,,,,,,,用語,物理的,コスト,2,動詞
1518,nor,も,,,,,,,,,,,,,,,認める,用語,物理的,2,接続詞
1519,deal,取引,,,,,,,,,,,,,,,も,認める,用語,2,名詞
1520,career,キャリア,,,,,,,,,,,,,,,取引,も,認める,2,名詞
1521,nation,国家,,,,,,,,,,,,,,,キャリア,取引,も,2,名詞
1522,billion,億,,,,,,,,,,,,,,,国家,キャリア,取引,2,数詞
1523,create,作成する,,,,,,,,,,,,,,,億,国家,キャリア,2,動詞
1524,region,地域,,,,,,,,,,,,,,,作成する,億,国家,2,名詞
1525,loss,損失,,,,,,,,,,,,,,,地域,作成する,億,2,名詞
1526,ability,能力,,,,,,,,,,,,,,,損失,地域,作成する,2,名詞
1527,previous,前,,,,,,,,,,,,,,,能力,損失,地域,2,形容詞
1528,material,材料,,,,,,,,,,,,,,,前,能力,損失,2,名詞
1529,onto,上に,,,,,,,,,,,,,,,材料,前,能力,2,前置詞
1530,throughout,を通して,,,,,,,,,,,,,,,上に,材料,前,2,前置詞
1531,worth,価値,,,,,,,,,,,,,,,を通して,上に,材料,2,前置詞
1532,opportunity,機会,,,,,,,,,,,,,,,価値,を通して,上に,2,名詞
1533,response,応答,,,,,,,,,,,,,,,機会,価値,を通して,2,名詞
1534,bill,請求書,,,,,,,,,,,,,,,応答,機会,価値,2,名詞
1535,unless,ない限り,,,,,,,,,,,,,,,請求書,応答,機会,2,接続詞
1536,successful,旨い,,,,,,,,,,,,,,,ない限り,請求書,応答,2,形容詞
